Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
ATEN23,BT4,Pre-exposure,Heat-stressed,109.207,202.897,53.823861368083314
ATEN23,BT5,Pre-exposure,Heat-stressed,74.57,201.926,36.929370165308086
ATEN23,BT5,Pre-exposure,Heat-stressed,89.426,211.829,42.21612715917084
ATEN23,BT6,Pre-exposure,Control,118.75,213.678,55.57427531144994
ATEN23,BT6,Pre-exposure,Control,128.023,212.04,60.376815695151855
ATEN23,BT7,Pre-exposure,Heat-stressed,63.793,213.317,29.905258371344058
ATEN23,BT7,Pre-exposure,Heat-stressed,99.049,212.924,46.518476075970774
ATEN23,BT8,Pre-exposure,Control,112.376,214.1,52.48762260625877
ATEN23,BT8,Pre-exposure,Control,87.138,212.824,40.9436905612149
ATEN24,BT1,Pre-exposure,Control,82.351,167.887,49.0514453173861
ATEN24,BT1,Pre-exposure,Control,93.854,212.036,44.26323831802147
ATEN24,BT2,Pre-exposure,Control,139.323,214.917,64.82642136266558
ATEN24,BT2,Pre-exposure,Control,110.661,214.698,51.54263197607803
ATEN24,BT3,Pre-exposure,Heat-stressed,116.096,213.058,54.4903265777394
ATEN24,BT3,Pre-exposure,Heat-stressed,113.784,214.104,53.144266337854496
ATEN24,BT4,Pre-exposure,Heat-stressed,136.984,213.047,64.29754936704109
ATEN24,BT4,Pre-exposure,Heat-stressed,109.489,211.447,51.78082450921507
ATEN24,BT5,Pre-exposure,Heat-stressed,76.171,167.908,45.364723539080934
ATEN24,BT5,Pre-exposure,Heat-stressed,136.98,206.006,66.49320893566207
ATEN24,BT6,Pre-exposure,Control,99.384,206.279,48.1794075014907
ATEN24,BT6,Pre-exposure,Control,102.777,206.117,49.863427082676345
ATEN24,BT7,Pre-exposure,Heat-stressed,101.61,205.838,49.364063001000794
ATEN24,BT7,Pre-exposure,Heat-stressed,126.569,206.395,61.32367547663461
ATEN24,BT8,Pre-exposure,Control,110.935,206.507,53.71972862905373
ATEN24,BT8,Pre-exposure,Control,86.905,207.118,41.9591730317983
ATEN25,BT1,Pre-exposure,Control,81.172,184.01,44.1128199554372
ATEN25,BT1,Pre-exposure,Control,49.581,200.037,24.785914605797927
ATEN25,BT2,Pre-exposure,Control,106.144,200.208,53.016862463038436
ATEN25,BT2,Pre-exposure,Control,158.616,204.041,77.73731749991424
ATEN25,BT3,Pre-exposure,Heat-stressed,120.032,203.665,58.935997839589525
ATEN25,BT3,Pre-exposure,Heat-stressed,101.791,204.253,49.83574292666448
