Species,Day elapsed,Colony,N fragment,Bleached fragments,Healthy fragments,Fragment ID,Fragment #,status
A. tenuis,8,ATEN28,8,0,8,ATEN28_3,3,1
A. tenuis,8,ATEN28,8,0,8,ATEN28_4,4,1
A. tenuis,8,ATEN28,8,0,8,ATEN28_5,5,1
A. tenuis,8,ATEN28,8,0,8,ATEN28_6,6,1
A. tenuis,8,ATEN28,8,0,8,ATEN28_7,7,1
A. tenuis,8,ATEN28,8,0,8,ATEN28_8,8,1
A. tenuis,8,ATEN29,8,0,8,ATEN29_1,1,1
A. tenuis,8,ATEN29,8,0,8,ATEN29_2,2,1
A. tenuis,8,ATEN29,8,0,8,ATEN29_3,3,1
A. tenuis,8,ATEN29,8,0,8,ATEN29_4,4,1
A. tenuis,8,ATEN29,8,0,8,ATEN29_5,5,1
A. tenuis,8,ATEN29,8,0,8,ATEN29_6,6,1
A. tenuis,8,ATEN29,8,0,8,ATEN29_7,7,1
A. tenuis,8,ATEN29,8,0,8,ATEN29_8,8,1
A. tenuis,8,ATEN30,8,0,8,ATEN30_1,1,1
A. tenuis,8,ATEN30,8,0,8,ATEN30_2,2,1
A. tenuis,8,ATEN30,8,0,8,ATEN30_3,3,1
A. tenuis,8,ATEN30,8,0,8,ATEN30_4,4,1
A. tenuis,8,ATEN30,8,0,8,ATEN30_5,5,1
A. tenuis,8,ATEN30,8,0,8,ATEN30_6,6,1
A. tenuis,8,ATEN30,8,0,8,ATEN30_7,7,1
A. tenuis,8,ATEN30,8,0,8,ATEN30_8,8,1
A. tenuis,9,ATEN01,8,5,3,ATEN01_1,1,1
A. tenuis,9,ATEN01,8,5,3,ATEN01_2,2,1
A. tenuis,9,ATEN01,8,5,3,ATEN01_3,3,1
A. tenuis,9,ATEN01,8,5,3,ATEN01_4,4,2
A. tenuis,9,ATEN01,8,5,3,ATEN01_5,5,2
A. tenuis,9,ATEN01,8,5,3,ATEN01_6,6,2
A. tenuis,9,ATEN01,8,5,3,ATEN01_7,7,2
A. tenuis,9,ATEN01,8,5,3,ATEN01_8,8,2
A. tenuis,9,ATEN02,8,0,8,ATEN02_1,1,1
A. tenuis,9,ATEN02,8,0,8,ATEN02_2,2,1
A. tenuis,9,ATEN02,8,0,8,ATEN02_3,3,1
A. tenuis,9,ATEN02,8,0,8,ATEN02_4,4,1
A. tenuis,9,ATEN02,8,0,8,ATEN02_5,5,1
A. tenuis,9,ATEN02,8,0,8,ATEN02_6,6,1
A. tenuis,9,ATEN02,8,0,8,ATEN02_7,7,1
A. tenuis,9,ATEN02,8,0,8,ATEN02_8,8,1
A. tenuis,9,ATEN03,8,0,8,ATEN03_1,1,1
A. tenuis,9,ATEN03,8,0,8,ATEN03_2,2,1
A. tenuis,9,ATEN03,8,0,8,ATEN03_3,3,1
A. tenuis,9,ATEN03,8,0,8,ATEN03_4,4,1
A. tenuis,9,ATEN03,8,0,8,ATEN03_5,5,1
A. tenuis,9,ATEN03,8,0,8,ATEN03_6,6,1
A. tenuis,9,ATEN03,8,0,8,ATEN03_7,7,1
A. tenuis,9,ATEN03,8,0,8,ATEN03_8,8,1
A. tenuis,9,ATEN04,8,5,3,ATEN04_1,1,1
A. tenuis,9,ATEN04,8,5,3,ATEN04_2,2,1
A. tenuis,9,ATEN04,8,5,3,ATEN04_3,3,1
A. tenuis,9,ATEN04,8,5,3,ATEN04_4,4,2
A. tenuis,9,ATEN04,8,5,3,ATEN04_5,5,2
A. tenuis,9,ATEN04,8,5,3,ATEN04_6,6,2
A. tenuis,9,ATEN04,8,5,3,ATEN04_7,7,2
A. tenuis,9,ATEN04,8,5,3,ATEN04_8,8,2
A. tenuis,9,ATEN05,8,0,8,ATEN05_1,1,1
A. tenuis,9,ATEN05,8,0,8,ATEN05_2,2,1
A. tenuis,9,ATEN05,8,0,8,ATEN05_3,3,1
A. tenuis,9,ATEN05,8,0,8,ATEN05_4,4,1
